k,silhouette,calinski_harabasz,davies_bouldin
2,0.7221318912704767,62.20876328852515,0.7815721073920877
3,0.6979069521272487,84.56220117229867,0.4572726695980116
4,0.6797129383719868,134.338192718441,0.4271822553408115
5,0.6771785689299595,139.9358860110496,0.37021354928955985
6,0.6738580616260864,144.2369680685234,0.4668486533330855
8,0.4058974907574528,179.00384065349644,0.6191248215382673
9,0.3942997888423196,177.8044840543572,0.5944835022020442
7,0.3697093061554171,161.51514437576563,0.6797562602749843
10,0.36693816120753237,181.79001696358176,0.6504637003927755
11,0.36238380624254596,185.4138341354572,0.5962318393844325
12,0.3257224820156764,198.4012398225248,0.6338472896046635
