k,silhouette
2,0.6165100932121277
3,0.39521947503089905
4,0.41046062111854553
5,0.403029203414917
6,0.4131616950035095
7,0.4284995496273041
8,0.4089549779891968
9,0.41207176446914673
10,0.4041960835456848
11,0.4004700183868408
12,0.39742758870124817
13,0.40513789653778076
14,0.398135244846344
15,0.4157826006412506
