k,silhouette
2,0.5361443758010864
3,0.4498852789402008
4,0.4230289161205292
5,0.4387730360031128
6,0.4425056576728821
7,0.435971736907959
8,0.4420184791088104
9,0.4445909261703491
10,0.44744741916656494
11,0.4239808917045593
12,0.4460759162902832
13,0.43582573533058167
14,0.4264231026172638
15,0.38013139367103577
