Country,cluster_hdbscan
AE,1
AR,1
AT,1
AU,1
BD,1
BE,1
BG,1
BO,1
BR,1
CA,1
CH,1
CL,1
CO,1
CZ,1
DE,1
DK,1
EC,1
EE,1
EG,0
ES,1
FI,1
FR,1
GB,0
GH,1
GR,1
HK,1
HR,1
HU,1
ID,1
IE,1
IL,1
IN,0
IT,1
JP,0
KE,1
KR,0
LK,1
LT,1
LV,1
MA,1
MM,1
MX,0
MY,1
NG,1
NL,1
NO,1
NZ,1
PE,1
PH,1
PK,1
PL,1
PT,1
RO,1
RS,1
RU,1
SA,1
SE,1
SG,1
SI,1
SK,1
TH,1
TN,1
TR,0
TW,1
UA,1
US,0
UY,1
VE,1
VN,1
ZA,1
