Country,cluster_kmeans_umap
AE,0
AR,0
AT,0
AU,0
BD,0
BE,0
BG,0
BO,0
BR,0
CA,1
CH,0
CL,0
CO,0
CZ,0
DE,0
DK,0
EC,0
EE,0
EG,1
ES,0
FI,0
FR,0
GB,1
GH,0
GR,0
HK,0
HR,0
HU,0
ID,0
IE,0
IL,0
IN,1
IT,0
JP,1
KE,0
KR,1
LK,0
LT,0
LV,0
MA,0
MM,0
MX,1
MY,0
NG,0
NL,0
NO,0
NZ,0
PE,0
PH,0
PK,0
PL,0
PT,0
RO,0
RS,0
RU,0
SA,0
SE,0
SG,0
SI,0
SK,0
TH,0
TN,0
TR,1
TW,0
UA,0
US,1
UY,0
VE,0
VN,0
ZA,0
