k,silhouette
2,0.364901602268219
3,0.3832457661628723
4,0.4345431625843048
5,0.42307209968566895
6,0.4077543020248413
7,0.42041027545928955
8,0.4048751890659332
9,0.3969539701938629
10,0.39424362778663635
11,0.3899613916873932
12,0.3980719745159149
13,0.3768209218978882
14,0.3789040744304657
15,0.39737704396247864
